timestamp,node,event,rssi_dbm,snr_db,rx_count,data,periode_ms,detail,raw_line
08:59:52.015,S1,IGNORE_REPLY,,,,,,S2:DATA:20,[IGNORE] S2:DATA:20
08:59:52.548,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:52.551,S1,RX_POLL,-70,9.0,21,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 9.00 dB | RX#: 21
08:59:52.552,S1,TX_DATA,,,,21,,,[TX] S1:DATA:21
08:59:52.585,S2,IGNORE_REPLY,,,,,,S1:DATA:21,[IGNORE] S1:DATA:21
08:59:52.617,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:52.622,S2,RX_POLL,-72,9.0,21,,643,,[RX] POLL:2 | RSSI: -72 dBm | SNR: 9.00 dB | RX#: 21
08:59:52.623,S2,TX_DATA,,,,21,,,[TX] S2:DATA:21
08:59:52.658,S1,IGNORE_REPLY,,,,,,S2:DATA:21,[IGNORE] S2:DATA:21
08:59:53.192,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:53.195,S1,RX_POLL,-70,8.75,22,,644,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 22
08:59:53.195,S1,TX_DATA,,,,22,,,[TX] S1:DATA:22
08:59:53.233,S2,IGNORE_REPLY,,,,,,S1:DATA:22,[IGNORE] S1:DATA:22
08:59:53.264,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:53.269,S2,RX_POLL,-72,9.0,22,,647,,[RX] POLL:2 | RSSI: -72 dBm | SNR: 9.00 dB | RX#: 22
08:59:53.270,S2,TX_DATA,,,,22,,,[TX] S2:DATA:22
08:59:53.305,S1,IGNORE_REPLY,,,,,,S2:DATA:22,[IGNORE] S2:DATA:22
08:59:53.839,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:53.842,S1,RX_POLL,-70,8.5,23,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 23
08:59:53.842,S1,TX_DATA,,,,23,,,[TX] S1:DATA:23
08:59:53.876,S2,IGNORE_REPLY,,,,,,S1:DATA:23,[IGNORE] S1:DATA:23
08:59:53.911,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:53.912,S2,RX_POLL,-73,8.75,23,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 8.75 dB | RX#: 23
08:59:53.913,S2,TX_DATA,,,,23,,,[TX] S2:DATA:23
08:59:53.949,S1,IGNORE_REPLY,,,,,,S2:DATA:23,[IGNORE] S2:DATA:23
08:59:54.482,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:54.485,S1,RX_POLL,-70,8.5,24,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 24
08:59:54.489,S1,TX_DATA,,,,24,,,[TX] S1:DATA:24
08:59:54.523,S2,IGNORE_REPLY,,,,,,S1:DATA:24,[IGNORE] S1:DATA:24
08:59:54.554,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:54.560,S2,RX_POLL,-73,8.75,24,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 8.75 dB | RX#: 24
08:59:54.560,S2,TX_DATA,,,,24,,,[TX] S2:DATA:24
08:59:54.595,S1,IGNORE_REPLY,,,,,,S2:DATA:24,[IGNORE] S2:DATA:24
08:59:55.129,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:55.132,S1,RX_POLL,-70,8.5,25,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 25
08:59:55.132,S1,TX_DATA,,,,25,,,[TX] S1:DATA:25
08:59:55.166,S2,IGNORE_REPLY,,,,,,S1:DATA:25,[IGNORE] S1:DATA:25
08:59:55.201,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:55.203,S2,RX_POLL,-73,8.75,25,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 8.75 dB | RX#: 25
08:59:55.206,S2,TX_DATA,,,,25,,,[TX] S2:DATA:25
08:59:55.242,S1,IGNORE_REPLY,,,,,,S2:DATA:25,[IGNORE] S2:DATA:25
08:59:55.772,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:55.776,S1,RX_POLL,-70,8.75,26,,644,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 26
08:59:55.779,S1,TX_DATA,,,,26,,,[TX] S1:DATA:26
08:59:55.813,S2,IGNORE_REPLY,,,,,,S1:DATA:26,[IGNORE] S1:DATA:26
08:59:55.845,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:55.850,S2,RX_POLL,-73,9.5,26,,648,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.50 dB | RX#: 26
08:59:55.851,S2,TX_DATA,,,,26,,,[TX] S2:DATA:26
08:59:55.885,S1,IGNORE_REPLY,,,,,,S2:DATA:26,[IGNORE] S2:DATA:26
08:59:56.419,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:56.423,S1,RX_POLL,-70,8.75,27,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 27
08:59:56.423,S1,TX_DATA,,,,27,,,[TX] S1:DATA:27
08:59:56.460,S2,IGNORE_REPLY,,,,,,S1:DATA:27,[IGNORE] S1:DATA:27
08:59:56.492,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:56.493,S2,RX_POLL,-73,9.0,27,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 27
08:59:56.497,S2,TX_DATA,,,,27,,,[TX] S2:DATA:27
08:59:56.532,S1,IGNORE_REPLY,,,,,,S2:DATA:27,[IGNORE] S2:DATA:27
08:59:57.063,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:57.065,S1,RX_POLL,-67,8.0,28,,643,,[RX] POLL:1 | RSSI: -67 dBm | SNR: 8.00 dB | RX#: 28
08:59:57.069,S1,TX_DATA,,,,28,,,[TX] S1:DATA:28
08:59:57.103,S2,IGNORE_REPLY,,,,,,S1:DATA:28,[IGNORE] S1:DATA:28
08:59:57.135,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:57.140,S2,RX_POLL,-73,9.0,28,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 28
08:59:57.140,S2,TX_DATA,,,,28,,,[TX] S2:DATA:28
08:59:57.176,S1,IGNORE_REPLY,,,,,,S2:DATA:28,[IGNORE] S2:DATA:28
08:59:57.709,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:57.712,S1,RX_POLL,-70,8.25,29,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.25 dB | RX#: 29
08:59:57.713,S1,TX_DATA,,,,29,,,[TX] S1:DATA:29
08:59:57.750,S2,IGNORE_REPLY,,,,,,S1:DATA:29,[IGNORE] S1:DATA:29
08:59:57.782,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:57.787,S2,RX_POLL,-73,9.0,29,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 29
08:59:57.787,S2,TX_DATA,,,,29,,,[TX] S2:DATA:29
08:59:57.823,S1,IGNORE_REPLY,,,,,,S2:DATA:29,[IGNORE] S2:DATA:29
08:59:58.356,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:58.359,S1,RX_POLL,-70,8.5,30,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 30
08:59:58.360,S1,TX_DATA,,,,30,,,[TX] S1:DATA:30
08:59:58.394,S2,IGNORE_REPLY,,,,,,S1:DATA:30,[IGNORE] S1:DATA:30
08:59:58.425,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:58.431,S2,RX_POLL,-73,9.25,30,,644,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.25 dB | RX#: 30
08:59:58.431,S2,TX_DATA,,,,30,,,[TX] S2:DATA:30
08:59:58.466,S1,IGNORE_REPLY,,,,,,S2:DATA:30,[IGNORE] S2:DATA:30
08:59:58.999,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:59.002,S1,RX_POLL,-70,8.5,31,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 31
08:59:59.003,S1,TX_DATA,,,,31,,,[TX] S1:DATA:31
08:59:59.040,S2,IGNORE_REPLY,,,,,,S1:DATA:31,[IGNORE] S1:DATA:31
08:59:59.072,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:59.073,S2,RX_POLL,-72,9.0,31,,643,,[RX] POLL:2 | RSSI: -72 dBm | SNR: 9.00 dB | RX#: 31
08:59:59.078,S2,TX_DATA,,,,31,,,[TX] S2:DATA:31
08:59:59.113,S1,IGNORE_REPLY,,,,,,S2:DATA:31,[IGNORE] S2:DATA:31
08:59:59.642,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:59.646,S1,RX_POLL,-70,8.75,32,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 32
08:59:59.649,S1,TX_DATA,,,,32,,,[TX] S1:DATA:32
