timestamp,node,raw_line
06:23:44.856,MASTER,[RX] S1:DATA:15 | RSSI: -55 dBm | SNR: 9.25 dB
06:23:44.860,MASTER,[TX] POLL:2
06:23:44.890,S1,[IGNORE] POLL:2
06:23:44.891,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 16
06:23:44.895,S2,[TX] S2:DATA:16
06:23:44.927,S1,[IGNORE] S2:DATA:16
06:23:44.931,MASTER,[RX] S2:DATA:16 | RSSI: -51 dBm | SNR: 6.25 dB
06:23:44.934,MASTER,--- STATISTIK ---
06:23:44.934,MASTER,S1: OK=15 | FAIL=1 | Data: 15
06:23:44.938,MASTER,S2: OK=16 | FAIL=0 | Data: 16
06:23:44.942,MASTER,Durasi siklus: 149 ms
06:23:44.942,MASTER,========================================
06:23:45.443,MASTER,========================================
06:23:45.443,MASTER,=== CYCLE 17 ===
06:23:45.446,MASTER,[TX] POLL:1
06:23:45.473,S2,[IGNORE] POLL:1
06:23:45.477,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 8.50 dB | RX#: 16
06:23:45.480,S1,[TX] S1:DATA:16
06:23:45.514,S2,[IGNORE] S1:DATA:16
06:23:45.515,MASTER,[RX] S1:DATA:16 | RSSI: -55 dBm | SNR: 9.50 dB
06:23:45.516,MASTER,[TX] POLL:2
06:23:45.546,S1,[IGNORE] POLL:2
06:23:45.551,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 17
06:23:45.552,S2,[TX] S2:DATA:17
06:23:45.592,S1,[IGNORE] S2:DATA:17
06:23:45.593,MASTER,[RX] S2:DATA:17 | RSSI: -51 dBm | SNR: 7.75 dB
06:23:45.593,MASTER,--- STATISTIK ---
06:23:45.593,MASTER,S1: OK=16 | FAIL=1 | Data: 16
06:23:45.597,MASTER,S2: OK=17 | FAIL=0 | Data: 17
06:23:45.597,MASTER,Durasi siklus: 147 ms
06:23:45.601,MASTER,========================================
06:23:46.106,MASTER,========================================
06:23:46.107,MASTER,=== CYCLE 18 ===
06:23:46.107,MASTER,[TX] POLL:1
06:23:46.132,S2,[IGNORE] POLL:1
06:23:46.135,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 8.25 dB | RX#: 17
06:23:46.136,S1,[TX] S1:DATA:17
06:23:46.173,S2,[IGNORE] S1:DATA:17
06:23:46.175,MASTER,[RX] S1:DATA:17 | RSSI: -55 dBm | SNR: 9.25 dB
06:23:46.175,MASTER,[TX] POLL:2
06:23:46.205,S1,[IGNORE] POLL:2
06:23:46.210,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 18
06:23:46.210,S2,[TX] S2:DATA:18
06:23:46.246,S1,[IGNORE] S2:DATA:18
06:23:46.249,MASTER,[RX] S2:DATA:18 | RSSI: -51 dBm | SNR: 7.25 dB
06:23:46.249,MASTER,--- STATISTIK ---
06:23:46.253,MASTER,S1: OK=17 | FAIL=1 | Data: 17
06:23:46.257,MASTER,S2: OK=18 | FAIL=0 | Data: 18
06:23:46.257,MASTER,Durasi siklus: 147 ms
06:23:46.261,MASTER,========================================
06:23:46.760,MASTER,========================================
06:23:46.761,MASTER,=== CYCLE 19 ===
06:23:46.761,MASTER,[TX] POLL:1
06:23:46.791,S2,[IGNORE] POLL:1
06:23:46.795,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 18
06:23:46.795,S1,[TX] S1:DATA:18
06:23:46.829,S2,[IGNORE] S1:DATA:18
06:23:46.834,MASTER,[RX] S1:DATA:18 | RSSI: -55 dBm | SNR: 9.50 dB
06:23:46.834,MASTER,[TX] POLL:2
06:23:46.864,S1,[IGNORE] POLL:2
06:23:46.866,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 19
06:23:46.873,S2,[TX] S2:DATA:19
06:23:46.905,S1,[IGNORE] S2:DATA:19
06:23:46.908,MASTER,[RX] S2:DATA:19 | RSSI: -51 dBm | SNR: 7.50 dB
06:23:46.908,MASTER,--- STATISTIK ---
06:23:46.912,MASTER,S1: OK=18 | FAIL=1 | Data: 18
06:23:46.912,MASTER,S2: OK=19 | FAIL=0 | Data: 19
06:23:46.916,MASTER,Durasi siklus: 148 ms
06:23:46.920,MASTER,========================================
06:23:47.417,MASTER,========================================
06:23:47.420,MASTER,=== CYCLE 20 ===
06:23:47.420,MASTER,[TX] POLL:1
06:23:47.447,S2,[IGNORE] POLL:1
06:23:47.450,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 8.75 dB | RX#: 19
06:23:47.454,S1,[TX] S1:DATA:19
06:23:47.488,S2,[IGNORE] S1:DATA:19
06:23:47.490,MASTER,[RX] S1:DATA:19 | RSSI: -55 dBm | SNR: 9.00 dB
06:23:47.493,MASTER,[TX] POLL:2
06:23:47.524,S1,[IGNORE] POLL:2
06:23:47.525,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 20
06:23:47.529,S2,[TX] S2:DATA:20
06:23:47.561,S1,[IGNORE] S2:DATA:20
06:23:47.563,MASTER,[RX] S2:DATA:20 | RSSI: -51 dBm | SNR: 7.75 dB
06:23:47.567,MASTER,--- STATISTIK ---
06:23:47.571,MASTER,S1: OK=19 | FAIL=1 | Data: 19
06:23:47.572,MASTER,S2: OK=20 | FAIL=0 | Data: 20
06:23:47.576,MASTER,Durasi siklus: 148 ms
06:23:47.576,MASTER,========================================
06:23:48.076,MASTER,========================================
06:23:48.080,MASTER,=== CYCLE 21 ===
06:23:48.080,MASTER,[TX] POLL:1
06:23:48.106,S2,[IGNORE] POLL:1
06:23:48.110,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 20
06:23:48.114,S1,[TX] S1:DATA:20
06:23:48.153,MASTER,[RX] S1:DATA:20 | RSSI: -56 dBm | SNR: 9.00 dB
06:23:48.153,MASTER,[TX] POLL:2
06:23:48.153,S2,[IGNORE] S1:DATA:20
06:23:48.179,S1,[IGNORE] POLL:2
06:23:48.185,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 21
06:23:48.185,S2,[TX] S2:DATA:21
06:23:48.220,S1,[IGNORE] S2:DATA:21
06:23:48.223,MASTER,[RX] S2:DATA:21 | RSSI: -51 dBm | SNR: 7.00 dB
06:23:48.227,MASTER,--- STATISTIK ---
06:23:48.227,MASTER,S1: OK=20 | FAIL=1 | Data: 20
06:23:48.231,MASTER,S2: OK=21 | FAIL=0 | Data: 21
06:23:48.231,MASTER,Durasi siklus: 149 ms
06:23:48.235,MASTER,========================================
06:23:48.735,MASTER,========================================
06:23:48.735,MASTER,=== CYCLE 22 ===
06:23:48.738,MASTER,[TX] POLL:1
06:23:48.766,S2,[IGNORE] POLL:1
